time,increased,absolute
2015-09-13 03:41:41,14,14
2015-09-13 03:44:45,32,46
2015-09-13 05:34:08,3038,3084
2015-09-13 05:59:57,1335,4419
2015-09-13 07:37:19,2302,6721
2015-09-13 08:40:08,8094,14815
2015-09-13 08:56:56,2399,17214
2015-09-13 10:35:14,13922,31136
2015-09-13 11:31:18,6656,37792
2015-09-13 12:05:16,2539,40331
2015-09-13 13:35:25,12397,52728
2015-09-13 14:17:21,6709,59437
2015-09-13 15:41:36,2150,61587
2015-09-13 16:17:22,7986,69573
2015-09-13 17:39:45,12350,81923
2015-09-13 18:39:35,14824,96747
2015-09-13 18:51:51,12895,109642
2015-09-13 19:47:05,28000,137642
